city,date,time,alertDate,category,category_desc,matrix_id,rid,hour,month,year,day
"באר שבע 288, באר שבע 289, באר שבע 291",24.07.2014,17:05:26,2014-07-24T17:05:00,1,ירי רקטות וטילים,1,1,17,7,2014,Thursday
"באר שבע 288, אשקלון 256, באר שבע 289, באר שבע 291",24.07.2014,17:05:35,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,2,17,7,2014,Thursday
"אשקלון 256, באר שבע 289, באר שבע 291",24.07.2014,17:05:59,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,3,17,7,2014,Thursday
"באר שבע 289, באר שבע 291",24.07.2014,17:06:02,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,4,17,7,2014,Thursday
"באר שבע 288, באר שבע 289, באר שבע 291",24.07.2014,17:06:08,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,5,17,7,2014,Thursday
"באר שבע 288, באר שבע 291",24.07.2014,17:06:11,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,6,17,7,2014,Thursday
באר שבע 288,24.07.2014,17:06:14,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,7,17,7,2014,Thursday
"באר שבע 288, באר שבע 289",24.07.2014,17:06:15,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,8,17,7,2014,Thursday
באר שבע 289,24.07.2014,17:06:49,2014-07-24T17:07:00,1,ירי רקטות וטילים,1,9,17,7,2014,Thursday
עוטף עזה 230,27.07.2014,09:57:09,2014-07-27T09:57:00,1,ירי רקטות וטילים,1,10,9,7,2014,Sunday
עוטף עזה 237,27.07.2014,10:55:01,2014-07-27T10:55:00,1,ירי רקטות וטילים,1,11,10,7,2014,Sunday
עוטף עזה 218,27.07.2014,12:29:40,2014-07-27T12:30:00,1,ירי רקטות וטילים,1,12,12,7,2014,Sunday
"עוטף עזה 218, עוטף עזה 217",27.07.2014,13:44:10,2014-07-27T13:44:00,1,ירי רקטות וטילים,1,13,13,7,2014,Sunday
עוטף עזה 218,27.07.2014,13:59:00,2014-07-27T13:59:00,1,ירי רקטות וטילים,1,14,13,7,2014,Sunday
עוטף עזה 217,27.07.2014,14:03:55,2014-07-27T14:04:00,1,ירי רקטות וטילים,1,15,14,7,2014,Sunday
