City,Top Hour
"באר שבע 288, באר שבע 289, באר שבע 291",17
"באר שבע 288, אשקלון 256, באר שבע 289, באר שבע 291",17
"אשקלון 256, באר שבע 289, באר שבע 291",17
"באר שבע 289, באר שבע 291",17
"באר שבע 288, באר שבע 291",17
באר שבע 288,17
"באר שבע 288, באר שבע 289",17
באר שבע 289,17
עוטף עזה 230,14
עוטף עזה 237,10
עוטף עזה 218,13
"עוטף עזה 218, עוטף עזה 217",19
עוטף עזה 217,15
עוטף עזה 224,16
"אשקלון 250, אשקלון 251, עוטף עזה 251, אשקלון 249",16
"אשקלון 250, אשקלון 251, עוטף עזה 251, אשקלון 249, אשדוד 282",16
"אשדוד 281, אשקלון 250, אשקלון 251, עוטף עזה 251, אשקלון 249, אשדוד 280, אשדוד 282",16
"אשדוד 281, אשדוד 280, אשדוד 282, אשקלון 249",16
"אשדוד 282, אשקלון 249",16
אשקלון 249,16
פזורה 31,17
"באר שבע 286, פזורה 31, נגב 296",17
"באר שבע 292, באר שבע 286, פזורה 31, נגב 296, נגב 297",17
"באר שבע 292, באר שבע 286, פזורה 31, אשקלון 234, עוטף עזה 234, נגב 296, נגב 297",17
"באר שבע 292, באר שבע 286, פזורה 31, אשקלון 234, עוטף עזה 234, אשקלון 256, נגב 296, נגב 297",17
"באר שבע 292, באר שבע 286, אשקלון 234, עוטף עזה 234, אשקלון 256, נגב 296, נגב 297",17
"באר שבע 292, באר שבע 286, אשקלון 234, עוטף עזה 234, אשקלון 256, נגב 296, נגב 297, באר שבע 285",17
"באר שבע 292, באר שבע 286, אשקלון 256, נגב 296, נגב 297, באר שבע 285",17
"באר שבע 292, אשקלון 256, נגב 296, נגב 297, באר שבע 285",17
"באר שבע 292, נגב 296, נגב 297, באר שבע 285",17
"באר שבע 292, באר שבע 286, נגב 296, נגב 297, באר שבע 285, באר שבע 291",17
"באר שבע 286, נגב 296, נגב 297, באר שבע 285, באר שבע 291",17
"באר שבע 286, נגב 297, באר שבע 285, באר שבע 291",17
"באר שבע 286, נגב 297, באר שבע 291",17
"באר שבע 286, באר שבע 291",17
"באר שבע 292, באר שבע 286, באר שבע 291, נגב 297",17
"באר שבע 292, נגב 297",17
נגב 297,17
